mir	20127_1_1	20127_1_2	20127_1_3	20127_1_4	20127_1_5	20127_1_6
hsa-mir-16-2-3p	213	245	437	221	294	239
hsa-mir-548v	2	2	3	1	5	5
hsa-mir-4650-5p	0	0	0	1	0	0
hsa-mir-3146	2	0	4	1	1	2
hsa-mir-210-5p	114	99	87	80	106	46
hsa-mir-521	2	2	3	5	0	0
hsa-mir-30a-3p	58	66	102	63	99	91
hsa-mir-4730	0	0	0	0	0	1
hsa-mir-676-5p	1	0	5	1	1	0
hsa-mir-6765-3p	0	1	1	0	0	1
hsa-mir-6779-5p	1	0	0	1	1	0
hsa-mir-6763-5p	2	4	4	1	1	1
hsa-mir-10a-3p	3	2	3	3	0	1
hsa-mir-548t-5p	0	0	1	0	1	0
hsa-mir-6895-5p	0	3	1	2	1	0
hsa-mir-3944-3p	24	30	47	37	32	45
hsa-mir-6783-5p	0	0	6	2	1	3
hsa-mir-4536-3p	0	0	1	0	0	0
hsa-mir-495-3p	1	3	3	0	1	0
hsa-mir-548n	9	8	16	9	23	10
hsa-mir-4263	0	0	1	0	0	0
hsa-mir-1275	384	399	487	401	412	425
hsa-mir-199a-5p	1	1	8	4	3	4
hsa-mir-193a-3p	3362	2384	7431	2379	2876	3621
hsa-mir-4655-3p	0	0	0	0	0	1
hsa-mir-548aa	1	1	2	1	2	1
hsa-mir-1285-5p	83	106	175	132	116	110
hsa-mir-5705	0	0	1	0	0	0
hsa-mir-3176	284	303	574	323	370	369
hsa-mir-1286	107	117	180	99	159	145
hsa-mir-564	0	1	0	0	0	0
hsa-mir-4474-3p	3	0	3	0	1	0
hsa-mir-6886-3p	3	2	15	2	4	2
hsa-mir-18a-3p	161	155	384	135	167	176
hsa-mir-34c-3p	0	1	0	0	0	0
hsa-mir-1185-1-3p	2	0	3	4	2	1
hsa-mir-518f-3p	0	0	1	0	0	0
hsa-mir-4419a	62	187	237	142	117	169
hsa-mir-519e-5p	2	0	0	0	2	0
hsa-mir-6819-3p	0	0	0	0	1	0
hsa-mir-5583-5p	0	0	2	0	0	0
hsa-mir-17-3p	247	235	461	228	226	305
hsa-mir-299-5p	0	0	1	1	1	0
hsa-mir-3130-3p	1	1	2	2	0	1
hsa-mir-4258	0	1	0	0	0	1
hsa-mir-30d-3p	761	789	1138	764	868	719
hsa-mir-493-5p	0	0	1	1	1	1
hsa-mir-597-5p	0	0	1	0	1	3
hsa-mir-191-5p	88742	108960	188908	96990	126909	119133
hsa-mir-572	2	0	0	2	1	5
hsa-mir-4722-3p	0	0	0	1	0	0
hsa-mir-27a-5p	681	503	920	478	577	543
hsa-mir-6762-5p	0	0	1	1	0	0
hsa-mir-4661-3p	0	1	3	1	2	1
hsa-mir-548a-5p	2	1	2	0	2	5
hsa-mir-6751-3p	0	0	0	0	0	3
hsa-mir-1469	0	0	1	1	2	0
hsa-mir-18b-5p	0	1	0	3	1	0
hsa-mir-6717-5p	1	0	0	0	0	0
hsa-mir-106a-3p	0	0	0	1	0	0
hsa-mir-1250-5p	2	3	1	3	4	3
hsa-mir-6890-5p	0	0	2	2	1	0
hsa-mir-7-1-3p	20	30	36	19	34	31
hsa-mir-3180-5p	15	18	27	23	20	21
hsa-mir-522-5p	0	0	0	3	0	0
hsa-mir-4800-5p	1	4	4	2	2	3
hsa-mir-582-3p	168	128	245	130	170	185
hsa-let-7e-3p	158	153	252	140	138	163
hsa-mir-6076	0	0	1	1	0	0
hsa-mir-218-2-3p	0	0	1	0	0	0
hsa-mir-4426	0	0	0	1	0	0
hsa-mir-2116-5p	0	1	1	1	1	0
hsa-mir-203a-3p	10214	9555	15859	9998	11853	10335
hsa-mir-5193	0	4	6	3	4	1
hsa-mir-3609	4	8	15	3	7	7
hsa-mir-6787-3p	0	0	0	0	2	2
hsa-mir-4783-5p	0	1	0	0	0	0
hsa-mir-331-3p	1349	1237	2961	1196	1466	1542
hsa-mir-6872-3p	3	0	0	0	0	0
hsa-mir-2682-3p	0	0	1	0	1	0
hsa-mir-6873-3p	11	5	17	10	5	2
hsa-mir-7112-3p	0	0	5	3	1	4
hsa-mir-3691-3p	0	3	2	0	2	1
hsa-mir-574-5p	884	872	1964	775	951	977
hsa-mir-6165	0	0	1	0	1	3
hsa-mir-1303	1102	3278	9193	3150	2909	3770
hsa-mir-620	3	2	0	4	3	1
hsa-mir-6840-5p	3	34	51	24	22	18
hsa-mir-197-5p	23	9	12	12	12	8
hsa-mir-15a-3p	6	6	14	10	7	18
hsa-mir-103a-3p	28299	24857	42273	24089	30449	28926
hsa-mir-3155a	11	6	8	6	16	4
hsa-mir-8076	0	0	0	1	0	0
hsa-mir-518e-3p	0	1	0	1	0	0
hsa-mir-4769-5p	0	0	1	0	0	0
hsa-mir-1912	0	0	0	1	0	0
hsa-mir-1293	120	129	201	108	104	109
hsa-mir-1306-5p	19	32	33	22	23	42
hsa-mir-324-5p	156	166	315	152	189	231
hsa-mir-6834-5p	0	1	1	0	0	3
hsa-mir-23c	1	0	0	0	0	1
hsa-mir-628-3p	101	103	267	112	163	127
hsa-mir-527	4	1	3	0	1	0
hsa-mir-6773-5p	19	30	76	32	47	19
hsa-mir-5698	0	0	3	0	0	1
hsa-mir-6859-5p	9	10	11	7	6	10
hsa-mir-6757-5p	0	1	1	0	0	1
hsa-mir-548as-5p	1	3	4	0	3	0
hsa-mir-298	0	0	1	1	1	0
hsa-mir-5587-5p	6	1	15	9	4	8
hsa-mir-1281	0	0	0	1	0	0
hsa-mir-6848-5p	0	0	0	1	0	1
hsa-mir-1225-5p	1	3	1	1	0	5
hsa-mir-29b-2-5p	24	34	48	17	18	22
hsa-mir-3180-3p	2	2	2	1	4	0
hsa-mir-374c-5p	0	0	1	1	1	0
hsa-mir-6867-3p	0	2	0	0	0	0
hsa-mir-6855-3p	2	0	0	0	0	0
hsa-mir-8060	0	0	0	1	0	1
hsa-mir-6769b-5p	0	0	1	2	0	2
hsa-mir-6743-5p	0	0	0	0	1	0
hsa-mir-517c-3p	0	0	0	1	1	0
hsa-mir-548s	1	1	12	3	1	2
hsa-mir-4784	1	0	0	2	0	0
hsa-mir-645	0	0	1	0	0	0
hsa-mir-1229-5p	0	2	3	0	0	0
hsa-mir-4739	0	0	2	1	0	1
hsa-mir-562	0	1	0	0	1	0
hsa-mir-148b-3p	5462	6668	10382	5735	7024	5570
hsa-mir-5008-3p	1	3	9	1	3	9
hsa-mir-548ah-3p	1	2	2	1	4	2
hsa-mir-548b-3p	1	3	0	0	3	2
hsa-mir-203a-5p	42	65	114	64	70	67
hsa-mir-1587	1	0	0	0	0	1
hsa-mir-3164	3	3	3	0	0	1
hsa-mir-6743-3p	3	1	3	1	1	3
hsa-mir-181d-3p	1	2	3	0	0	5
hsa-mir-3922-5p	0	0	0	0	0	2
hsa-mir-4496	0	0	0	0	0	1
hsa-mir-4747-5p	0	2	0	1	0	0
hsa-mir-378a-3p	22490	22196	37871	18575	23915	24652
hsa-mir-519e-3p	0	0	1	0	0	0
hsa-mir-3679-5p	23	18	36	16	21	28
hsa-mir-466	1	1	6	2	2	1
hsa-mir-301b-5p	11	4	21	7	4	12
hsa-mir-3135b	19	26	40	34	28	15
hsa-mir-33b-3p	150	136	258	122	164	134
hsa-mir-31-5p	13	16	10	7	8	9
hsa-mir-107	7078	6070	9541	5676	7132	7015
hsa-mir-1268a	16	92	136	90	54	136
hsa-mir-664a-5p	3	6	9	6	5	5
hsa-mir-6726-3p	0	0	1	1	1	1
hsa-mir-561-3p	5	1	3	1	1	1
hsa-mir-1269b	1	0	0	0	0	0
hsa-mir-4458	12	15	10	11	13	8
hsa-mir-338-3p	21	12	26	18	19	18
hsa-mir-551a	23	20	35	8	27	19
hsa-mir-548ak	0	1	0	0	4	4
hsa-mir-4662a-3p	0	2	0	1	2	0
hsa-mir-7976	25	32	54	28	37	15
hsa-mir-548l	7	7	12	2	6	9
hsa-mir-4660	0	2	3	0	1	0
hsa-mir-548am-3p	1	2	1	0	2	2
hsa-mir-544b	150	152	321	111	168	151
hsa-mir-4267	1	0	3	0	0	0
hsa-mir-4452	0	0	5	3	3	1
hsa-mir-504-5p	5	9	14	6	6	4
hsa-mir-4520-2-3p	2	0	0	0	0	0
hsa-mir-625-3p	123	116	139	127	105	84
hsa-mir-4745-5p	117	113	150	156	138	115
hsa-mir-4794	0	0	2	1	0	0
hsa-mir-543	4	5	8	2	2	6
hsa-mir-873-5p	2	0	0	0	1	0
hsa-mir-34b-3p	0	0	0	2	0	0
hsa-mir-4757-5p	2	0	3	0	1	0
hsa-mir-3909	38	49	87	53	46	48
hsa-mir-4433a-3p	1	0	0	0	0	1
hsa-mir-6818-5p	2	5	13	1	3	4
hsa-mir-186-5p	4738	7304	15653	7161	8256	8134
hsa-mir-8057	0	1	0	0	0	0
hsa-mir-6891-5p	1	2	0	1	0	0
hsa-mir-4638-3p	34	29	76	27	27	25
hsa-mir-6759-5p	1	3	0	1	0	2
hsa-mir-196a-3p	127	92	159	92	132	126
hsa-mir-6858-3p	3	0	3	2	4	4
hsa-mir-3620-5p	24	22	39	20	11	40
hsa-mir-5699-5p	24	34	54	29	19	29
hsa-mir-6758-5p	1	1	4	2	0	2
hsa-mir-6860	4	7	8	8	9	8
hsa-mir-6784-3p	0	2	2	2	0	2
hsa-mir-1256	4	2	3	4	2	0
hsa-mir-3617-5p	0	1	0	0	0	0
hsa-mir-5692a	0	1	0	1	0	0
hsa-mir-4797-5p	0	0	1	0	0	0
hsa-mir-4462	0	2	0	0	0	0
hsa-mir-942-5p	85	66	143	85	70	71
hsa-mir-6511a-5p	32	69	106	55	63	82
hsa-mir-4512	7	19	23	18	18	23
hsa-mir-579-5p	2	0	3	2	3	2
hsa-mir-1304-3p	325	349	473	293	419	363
hsa-mir-181c-5p	1254	1130	1869	1124	1329	1193
hsa-mir-4742-5p	0	0	2	2	1	1
hsa-mir-632	0	3	0	1	1	0
hsa-mir-6514-5p	11	16	10	1	9	10
hsa-mir-4261	0	1	0	0	1	0
hsa-mir-4677-3p	127	121	230	129	144	182
hsa-mir-6871-3p	3	3	0	3	0	1
hsa-mir-200a-5p	3478	3260	4848	2603	3796	3864
hsa-mir-5683	1	2	2	1	4	7
hsa-mir-582-5p	5	8	10	11	9	20
hsa-mir-4469	1	0	0	0	1	1
hsa-mir-3943	1	0	0	0	1	0
hsa-mir-4804-5p	6	1	5	0	2	2
hsa-mir-375	44909	39815	52547	46151	57685	36242
hsa-mir-24-3p	1398	1183	2553	1342	1553	1407
hsa-mir-1199-5p	0	0	0	0	2	3
hsa-mir-1199-3p	0	0	0	0	2	0
hsa-mir-4687-5p	1	0	3	1	3	0
hsa-mir-100-5p	6	8	28	3	5	6
hsa-mir-18a-5p	277	216	468	229	216	238
hsa-mir-193a-5p	1039	1131	1728	808	1162	1288
hsa-mir-7107-3p	4	8	34	8	14	15
hsa-mir-6737-5p	3	1	2	1	0	1
hsa-mir-199b-3p	20	20	47	28	21	17
hsa-mir-1273e	201	414	954	452	368	600
hsa-mir-494-3p	5	6	19	2	14	6
hsa-mir-7704	112	130	46	237	205	45
hsa-mir-889-5p	0	0	0	0	1	0
hsa-mir-7158-5p	0	0	0	1	0	0
hsa-mir-128-3p	1822	1638	2660	1700	1928	1575
hsa-mir-2277-5p	40	51	63	37	36	52
hsa-mir-4802-5p	0	0	4	2	0	1
hsa-mir-1231	0	0	1	0	0	0
hsa-mir-6758-3p	1	1	2	0	0	0
hsa-mir-3145-3p	3	6	16	2	13	4
hsa-mir-1181	2	2	7	2	2	1
hsa-mir-23a-5p	330	337	639	325	385	366
hsa-mir-182-3p	58	54	122	44	66	56
hsa-mir-652-3p	273	253	526	263	308	304
hsa-mir-4473	5	3	10	12	4	8
hsa-mir-654-5p	0	0	1	2	0	0
hsa-mir-3150a-5p	5	11	15	9	14	6
hsa-mir-382-3p	2	1	0	0	0	0
hsa-mir-767-3p	0	1	3	0	0	1
hsa-mir-3655	0	0	0	0	2	0
hsa-mir-4475	1	2	0	1	1	3
hsa-mir-6782-3p	0	0	0	0	0	1
hsa-mir-6721-5p	0	0	1	0	1	2
hsa-mir-4305	0	0	3	2	0	1
hsa-mir-6872-5p	4	1	0	1	0	0
hsa-mir-223-5p	0	2	0	0	0	0
hsa-mir-148b-5p	491	533	869	462	549	648
hsa-mir-6130	1	0	0	0	0	1
hsa-mir-10a-5p	1510	2712	3790	1945	2243	1666
hsa-mir-484	1818	1545	3723	1459	1623	1844
hsa-mir-483-5p	7	9	13	7	17	3
hsa-mir-99a-5p	463	879	1639	809	1053	635
hsa-mir-6801-3p	7	6	7	6	4	6
hsa-mir-555	0	1	1	1	1	0
hsa-mir-211-5p	1	0	1	0	0	0
hsa-mir-6850-5p	41	40	92	54	63	57
hsa-mir-6078	0	0	0	0	1	0
hsa-mir-4507	0	0	3	1	3	0
hsa-mir-6090	0	1	0	0	0	0
hsa-mir-6803-5p	1	2	4	2	1	2
hsa-mir-199b-5p	34	56	106	59	94	30
hsa-mir-1249-5p	4	7	12	8	13	7
hsa-mir-93-5p	23307	21474	40345	19536	24172	24793
hsa-mir-6814-5p	0	0	3	0	0	0
hsa-mir-3138	0	1	1	3	1	2
hsa-mir-4433b-5p	0	0	1	0	0	0
hsa-mir-4672	2	0	2	4	4	3
hsa-mir-616-3p	0	0	0	2	1	0
hsa-mir-4786-3p	0	1	0	2	0	0
hsa-mir-195-3p	70	74	94	71	90	62
hsa-mir-185-5p	124	114	258	107	170	167
hsa-mir-5691	3	6	1	0	0	0
hsa-mir-1301-5p	3	2	6	0	2	6
hsa-mir-320e	5	3	13	12	16	6
hsa-mir-3922-3p	2	4	4	2	7	6
hsa-mir-92a-1-5p	172	219	494	152	223	231
hsa-mir-371a-5p	0	0	0	0	2	0
hsa-mir-542-5p	10	11	28	17	16	17
hsa-mir-8485	31	25	63	27	40	46
hsa-mir-2114-3p	0	2	4	1	2	2
hsa-mir-183-5p	25518	34906	64658	27747	41427	29820
hsa-mir-1233-3p	2	5	12	5	4	9
hsa-mir-4644	0	0	0	0	1	0
hsa-mir-4318	0	0	0	1	1	0
hsa-mir-577	161	178	397	196	249	230
hsa-mir-370-3p	0	0	1	1	0	1
hsa-mir-4311	1	0	1	0	0	0
hsa-mir-1245b-5p	0	0	0	0	1	1
hsa-mir-5100	65	99	84	91	67	51
hsa-mir-4736	1	0	0	0	0	2
hsa-mir-3174	52	59	80	55	56	75
hsa-mir-1468-5p	46	59	139	57	85	63
hsa-mir-4668-5p	2	2	1	1	5	0
hsa-mir-4768-5p	3	4	5	6	5	5
hsa-mir-6501-5p	0	0	1	2	0	2
hsa-mir-1185-5p	0	0	0	0	0	1
hsa-mir-6732-5p	1	1	1	0	0	0
hsa-mir-6888-3p	0	0	2	0	0	0
hsa-mir-3187-5p	0	4	6	4	2	8
hsa-mir-22-3p	59355	52474	120907	49415	56207	64064
hsa-mir-6089	1	1	5	4	0	2
hsa-mir-4638-5p	0	0	1	1	1	2
hsa-mir-3690	0	4	0	0	0	0
hsa-mir-376b-3p	0	1	1	0	0	0
hsa-mir-4646-3p	0	0	0	0	1	0
hsa-mir-520h	0	1	0	0	0	0
hsa-mir-3159	85	227	239	156	114	173
hsa-mir-6862-3p	9	11	16	8	7	19
hsa-mir-337-3p	0	2	0	0	0	0
hsa-mir-6778-5p	0	1	0	1	1	1
hsa-mir-4494	0	0	1	0	0	0
hsa-mir-17-5p	2430	2305	4137	2025	2404	2313
hsa-mir-1301-3p	810	1554	3126	1486	1648	1133
hsa-mir-6867-5p	0	1	0	0	1	0
hsa-mir-5572	0	0	0	2	0	1
hsa-mir-581	1	1	1	2	2	0
hsa-mir-219b-5p	9	7	14	7	5	6
hsa-mir-4999-5p	0	0	2	1	5	1
hsa-mir-6748-3p	0	0	2	0	0	0
hsa-mir-8077	0	1	1	0	0	1
hsa-mir-6500-5p	0	0	1	0	0	0
hsa-mir-329-3p	0	0	5	0	1	0
hsa-mir-6733-5p	0	1	7	2	4	0
hsa-mir-1185-2-3p	0	0	1	0	1	1
hsa-mir-1291	27	34	53	31	34	23
hsa-mir-130a-3p	1	1	0	1	1	2
hsa-mir-3913-5p	20	20	23	11	19	19
hsa-mir-3654	1	0	0	0	3	0
hsa-mir-33a-3p	93	71	121	61	80	93
hsa-mir-6793-3p	0	0	0	3	0	0
hsa-mir-26b-5p	14865	13563	24423	14527	16326	14938
hsa-mir-6879-5p	0	0	0	0	0	1
hsa-mir-152-5p	92	133	226	104	129	141
hsa-mir-3660	1	3	3	0	4	3
hsa-mir-8085	0	0	1	0	0	0
hsa-mir-4459	55	95	209	113	110	157
hsa-mir-142-3p	1	0	5	1	0	4
hsa-mir-373-3p	1	0	0	0	1	0
hsa-mir-935	16	14	36	20	13	24
hsa-mir-3677-5p	9	1	6	3	1	1
hsa-mir-6833-5p	0	2	0	0	2	0
hsa-mir-6877-5p	9	6	9	6	5	11
hsa-mir-4749-5p	0	4	1	0	3	2
hsa-mir-6754-5p	0	0	0	0	0	1
hsa-mir-146a-5p	0	1	0	1	0	0
hsa-mir-4472	90	96	106	96	121	96
hsa-mir-519a-5p	18	16	31	16	27	31
hsa-mir-6722-3p	0	0	0	1	0	0
hsa-mir-32-3p	136	107	251	152	147	140
hsa-mir-146b-5p	566	674	844	814	923	642
hsa-mir-6892-5p	4	14	23	8	6	12
hsa-mir-6887-3p	0	1	2	2	0	0
hsa-mir-4675	0	1	1	0	2	0
hsa-mir-144-3p	0	0	0	2	2	0
hsa-mir-103a-2-5p	7	9	17	8	6	9
hsa-mir-3651	23	14	50	25	22	25
hsa-mir-487a-3p	2	0	2	0	1	0
hsa-mir-593-5p	0	1	0	0	0	0
hsa-mir-4454	725	738	759	648	748	682
hsa-mir-365a-3p	0	0	5	3	4	3
hsa-mir-4731-3p	0	0	2	4	0	0
hsa-mir-3120-3p	0	2	0	1	0	0
hsa-mir-7159-3p	0	0	0	2	0	0
hsa-mir-6806-5p	0	0	1	0	0	0
hsa-mir-4279	0	1	0	0	1	0
hsa-mir-5696	6	5	18	8	8	13
hsa-mir-6750-5p	1	1	3	1	1	0
hsa-mir-4758-3p	13	6	21	14	21	20
hsa-mir-4685-3p	11	1	7	2	4	2
hsa-mir-520d-5p	0	0	0	0	4	0
hsa-mir-518b	0	1	0	0	0	3
hsa-mir-941	8260	8809	15336	11370	12234	6282
hsa-mir-149-5p	3269	3823	6712	3570	4588	2961
hsa-mir-584-5p	144	174	290	190	211	199
hsa-mir-3194-3p	4	4	7	2	6	7
hsa-mir-3156-5p	0	0	0	4	0	0
hsa-mir-6882-5p	2	2	8	3	3	4
hsa-mir-6868-3p	16	11	14	11	6	11
hsa-mir-6756-5p	0	2	2	2	3	1
hsa-mir-26b-3p	915	832	2020	844	964	1226
hsa-mir-6800-3p	4	5	11	3	2	2
hsa-mir-504-3p	0	0	1	0	1	0
hsa-mir-7109-3p	0	0	1	0	2	2
hsa-mir-2278	15	6	14	10	15	16
hsa-mir-548q	1	5	8	9	2	3
hsa-mir-1260a	15	12	22	10	15	16
hsa-mir-638	2	1	10	1	0	0
hsa-mir-6777-5p	9	7	9	9	6	14
hsa-mir-6794-5p	2	0	1	1	5	3
hsa-mir-3692-5p	0	1	0	0	0	0
hsa-mir-4505	2	3	2	3	1	1
hsa-mir-181b-5p	57861	56998	102588	57058	72636	80464
hsa-mir-550a-3p	3	3	9	2	7	2
hsa-mir-576-5p	38	35	69	44	43	59
hsa-mir-2277-3p	17	12	35	14	14	14
hsa-mir-6861-3p	0	0	0	1	0	1
hsa-mir-449a	0	0	0	2	0	5
hsa-mir-1914-3p	0	5	4	3	3	2
hsa-mir-1273h-5p	10	15	38	18	12	20
hsa-mir-1203	0	0	0	1	0	0
hsa-mir-6744-3p	0	2	3	0	2	0
hsa-mir-4777-5p	0	1	0	0	0	0
hsa-mir-1271-5p	3	8	19	7	6	6
hsa-let-7a-2-3p	0	0	0	1	0	0
hsa-mir-2116-3p	11	14	10	9	11	7
hsa-mir-1972	5	7	13	14	9	6
hsa-mir-4533	0	0	0	1	0	0
hsa-mir-3692-3p	0	1	0	0	0	0
hsa-mir-4635	1	2	1	2	0	0
hsa-mir-1264	0	0	1	1	0	0
hsa-mir-6753-3p	14	7	9	3	4	16
hsa-mir-3619-3p	0	0	2	2	0	1
hsa-mir-4515	3	0	0	0	1	0
hsa-mir-519c-3p	1	0	4	0	2	1
hsa-mir-4673	4	2	13	3	3	4
hsa-mir-4708-3p	0	0	1	1	0	0
hsa-mir-5096	259	387	970	528	431	702
hsa-mir-4698	0	0	2	0	0	1
hsa-mir-7974	2136	2334	5848	2620	3013	4182
hsa-mir-3190-3p	3	0	2	2	2	9
hsa-mir-340-3p	115	154	278	163	174	129
hsa-mir-4293	0	2	0	0	0	0
hsa-mir-503-5p	83	98	211	124	133	122
hsa-mir-3168	1584	29	123	639	181	759
hsa-mir-3677-3p	289	308	471	250	293	371
hsa-mir-548h-5p	8	4	7	6	7	11
hsa-mir-7706	650	648	979	702	904	695
hsa-mir-187-3p	3	6	8	2	4	7
hsa-mir-3145-5p	1	1	0	0	0	0
hsa-mir-7845-5p	0	4	5	2	2	4
hsa-mir-191-3p	401	339	746	361	407	499
hsa-mir-5585-5p	2	4	3	1	2	0
hsa-mir-3171	2	2	0	0	0	0
hsa-mir-29b-3p	112	109	210	86	110	118
hsa-mir-6127	3	2	9	2	5	2
hsa-mir-190a-5p	86	128	245	112	114	108
hsa-mir-200b-3p	17581	26397	49400	22544	29076	14569
hsa-mir-1266-3p	1	4	5	0	5	7
hsa-mir-4310	0	0	1	0	0	0
hsa-mir-4716-3p	0	2	0	0	1	0
hsa-mir-1307-3p	4856	4203	6493	3960	4915	4782
hsa-mir-4423-5p	0	0	0	1	1	1
hsa-mir-4435	34	28	61	30	30	43
hsa-mir-452-5p	3	0	0	2	0	0
hsa-mir-6852-5p	1	0	6	5	7	8
hsa-mir-328-5p	0	0	3	1	1	0
hsa-mir-939-3p	9	6	10	3	6	4
hsa-mir-3606-3p	0	0	1	0	0	0
hsa-mir-6724-5p	111	120	312	120	156	204
hsa-mir-664a-3p	21	17	47	22	26	34
hsa-mir-8068	0	0	0	0	0	1
hsa-mir-589-5p	766	944	1204	939	1094	892
hsa-mir-25-3p	33180	27741	44604	28544	34720	29662
hsa-mir-4485-5p	8	14	33	9	10	22
hsa-mir-3116	5	5	9	4	15	3
hsa-mir-4540	0	0	0	0	0	1
hsa-mir-3151-3p	0	0	1	0	1	2
hsa-mir-744-5p	3130	2569	5632	2832	3023	3528
hsa-mir-4666a-3p	0	0	0	0	0	2
hsa-mir-335-5p	345	544	1602	554	574	578
hsa-mir-616-5p	12	11	13	7	4	9
hsa-mir-670-5p	0	0	1	0	0	4
hsa-mir-6839-5p	1	0	0	0	2	0
hsa-mir-4654	8	6	5	4	9	1
hsa-mir-9-3p	26	19	31	19	19	21
hsa-mir-6843-3p	0	1	0	1	0	0
hsa-mir-3074-5p	35	39	68	44	51	18
hsa-mir-887-5p	0	0	5	1	0	0
hsa-mir-6845-3p	0	1	0	0	0	1
hsa-mir-6505-5p	0	2	0	0	0	2
hsa-mir-4652-5p	4	6	5	10	8	2
hsa-mir-3197	4	1	4	2	2	2
hsa-mir-660-3p	5	0	1	1	2	1
hsa-mir-297	1	0	0	0	0	3
hsa-mir-6878-3p	0	0	0	2	0	0
hsa-mir-522-3p	16	13	28	13	5	16
hsa-mir-451a	1	1	7	0	2	3
hsa-mir-425-5p	2445	2079	3957	2195	2836	2359
hsa-mir-6737-3p	7	5	12	6	1	7
hsa-mir-4444	4	2	3	1	0	0
hsa-mir-22-5p	62	54	113	54	48	55
hsa-mir-3613-3p	116	140	201	189	180	148
hsa-mir-1252-3p	0	0	0	0	0	1
hsa-mir-8065	0	6	7	0	2	7
hsa-mir-1245b-3p	0	0	0	0	0	1
hsa-mir-3124-3p	0	0	1	0	0	0
hsa-mir-4281	0	1	0	1	1	1
hsa-mir-320d	30	46	84	41	39	46
hsa-mir-6748-5p	0	0	0	0	2	0
hsa-mir-513c-5p	1	0	0	0	0	0
hsa-mir-525-3p	0	0	0	0	1	0
hsa-mir-6070	2	0	0	0	0	0
hsa-mir-7854-3p	28	21	59	22	31	21
hsa-mir-423-5p	2830	2993	7747	3809	3658	3412
hsa-mir-125b-5p	249	510	1016	471	632	287
hsa-mir-3610	0	1	1	2	0	1
hsa-mir-3177-3p	42	57	107	78	83	43
hsa-mir-1276	171	168	465	191	233	230
hsa-mir-654-3p	28	26	47	22	18	26
hsa-mir-362-3p	2	1	1	1	1	3
hsa-mir-377-3p	0	1	4	1	0	0
hsa-let-7f-2-3p	71	70	110	72	74	79
hsa-mir-184	15	15	19	22	18	5
hsa-mir-5190	1	1	1	1	0	0
hsa-mir-4701-5p	1	0	1	0	0	1
hsa-mir-3131	3	2	4	4	1	7
hsa-mir-4727-3p	0	0	0	0	1	0
hsa-mir-588	1	0	1	0	0	1
hsa-mir-1909-5p	4	3	8	2	1	0
hsa-mir-548j-5p	4	5	16	6	11	7
hsa-mir-378g	74	73	94	82	89	86
hsa-mir-549a	20	25	65	19	28	29
hsa-mir-105-3p	1	4	5	5	1	1
hsa-mir-7111-3p	7	4	17	10	11	8
hsa-mir-515-3p	0	0	0	0	0	1
hsa-mir-1915-3p	17	23	45	21	28	30
hsa-mir-3121-3p	3	4	2	0	3	0
hsa-mir-3912-3p	36	24	33	28	23	35
hsa-mir-181a-2-3p	32	41	77	41	49	42
hsa-mir-6827-5p	0	1	1	0	0	0
hsa-mir-5192	0	2	0	0	1	0
hsa-mir-1226-3p	11	22	77	28	24	27
hsa-mir-134-3p	0	0	0	0	0	3
hsa-mir-548ad-5p	0	0	2	0	0	2
hsa-mir-3938	2	0	0	0	1	5
hsa-mir-874-3p	3	0	2	1	2	2
hsa-mir-3065-5p	56	84	150	118	130	168
hsa-mir-1296-5p	174	161	283	134	170	176
hsa-mir-7107-5p	0	0	3	1	4	1
hsa-let-7e-5p	22991	25212	47166	18509	25778	28930
hsa-mir-4697-3p	3	0	4	5	5	3
hsa-mir-548z	4	3	2	6	5	1
hsa-mir-675-5p	235	332	496	234	254	292
hsa-mir-6769a-5p	1	1	1	5	0	5
hsa-mir-6821-5p	1	0	7	1	0	4
hsa-mir-629-5p	131	158	214	153	164	183
hsa-mir-584-3p	2	0	0	2	1	0
hsa-let-7f-1-3p	228	231	405	218	328	239
hsa-mir-4722-5p	4	2	6	2	5	2
hsa-mir-7106-3p	0	0	4	1	0	0
hsa-let-7c-3p	14	20	30	15	24	20
hsa-mir-580-3p	7	7	11	11	14	5
hsa-mir-3192-3p	3	0	0	1	0	0
hsa-mir-6732-3p	2	2	10	7	5	6
hsa-mir-6826-5p	7	4	1	0	2	0
hsa-mir-891b	0	0	0	0	1	0
hsa-mir-6734-5p	0	0	2	5	1	1
hsa-mir-4321	0	1	0	0	0	0
hsa-mir-4446-3p	232	207	394	270	306	280
hsa-mir-3181	4	0	0	0	2	0
hsa-mir-5188	0	1	0	0	0	0
hsa-mir-889-3p	15	17	26	18	14	20
hsa-mir-769-3p	142	80	194	111	116	151
hsa-mir-516b-5p	6	5	11	4	5	3
hsa-mir-6893-3p	0	0	0	3	0	0
hsa-mir-188-5p	296	253	622	241	334	362
hsa-mir-3646	0	0	1	0	0	0
hsa-mir-216a-5p	1	0	1	0	0	0
hsa-mir-4754	3	2	3	0	3	1
hsa-mir-4254	1	0	1	0	0	1
hsa-mir-4763-5p	3	1	12	7	4	5
hsa-mir-425-3p	168	194	365	193	214	221
hsa-mir-151a-3p	32015	26329	53026	30291	33325	28004
hsa-mir-29c-5p	63	95	228	72	105	96
hsa-mir-4470	0	1	0	1	0	0
hsa-mir-3123	0	3	2	2	0	0
hsa-mir-4757-3p	2	1	1	2	0	0
hsa-mir-4517	2	4	8	7	5	13
