Gene	LogFC	V4	m210_1
DENND1C	-0.032705876	ensembl_havana	protein_coding
TRIM64C	-0.032705876	ensembl_havana	protein_coding
MYBPHL	-0.032705876	ensembl_havana	protein_coding
CDRT4	-0.032705876	ensembl_havana	protein_coding
INMT	-0.032705876	ensembl_havana	protein_coding
PWP2	-0.032705876	ensembl_havana	protein_coding
NPIPB8	-0.032705876	ensembl_havana	protein_coding
RBP3	-0.032705876	ensembl_havana	protein_coding
SMIM22	-0.032705876	ensembl_havana	protein_coding
CFAP206	-0.032705876	ensembl_havana	protein_coding
TM4SF19-TCTEX1D2	-0.032705876	havana	protein_coding
HIST1H2BB	-0.032705876	ensembl_havana	protein_coding
F8A3	-0.032705876	ensembl_havana	protein_coding
AC055866.1	-0.032705876	ensembl	protein_coding
HS3ST1	-0.032705876	ensembl_havana	protein_coding
CX3CL1	-0.032705876	ensembl_havana	protein_coding
DLX6	-0.032705876	ensembl_havana	protein_coding
SLAMF7	-0.032705876	ensembl_havana	protein_coding
STAP1	-0.032705876	ensembl_havana	protein_coding
CCDC85A	-0.032705876	ensembl_havana	protein_coding
CD84	-0.032705876	ensembl_havana	protein_coding
ACSM2B	-0.032705876	ensembl_havana	protein_coding
STON1-GTF2A1L	-0.032705876	ensembl_havana	protein_coding
CAMK2A	-0.032705876	ensembl_havana	protein_coding
SLC6A15	-0.032705876	ensembl_havana	protein_coding
TXK	-0.032705876	ensembl_havana	protein_coding
SPAG6	-0.032705876	ensembl_havana	protein_coding
IMPG2	-0.032705876	ensembl_havana	protein_coding
MAPRE3	-0.032705876	ensembl_havana	protein_coding
ARHGAP28	-0.032705876	ensembl_havana	protein_coding
KCNH4	-0.032705876	ensembl_havana	protein_coding
FLT3LG	-0.032705876	ensembl_havana	protein_coding
CD209	-0.032705876	ensembl_havana	protein_coding
SEC14L3	-0.032705876	ensembl_havana	protein_coding
SRPX	-0.032705876	ensembl_havana	protein_coding
BRS3	-0.032705876	ensembl_havana	protein_coding
NALCN	-0.032705876	ensembl_havana	protein_coding
FGF14	-0.032705876	ensembl_havana	protein_coding
HTR2A	-0.032705876	ensembl_havana	protein_coding
MEFV	-0.032705876	ensembl_havana	protein_coding
EYA1	-0.032705876	ensembl_havana	protein_coding
ANXA13	-0.032705876	ensembl_havana	protein_coding
ARHGEF18	-0.032705876	ensembl_havana	protein_coding
CD33	-0.032705876	ensembl_havana	protein_coding
ATP1A3	-0.032705876	ensembl_havana	protein_coding
CPED1	-0.032705876	ensembl_havana	protein_coding
MOGAT3	-0.032705876	ensembl_havana	protein_coding
ZBTB16	-0.032705876	ensembl_havana	protein_coding
NRXN2	-0.032705876	ensembl_havana	protein_coding
MS4A6A	-0.032705876	ensembl_havana	protein_coding
VWF	-0.032705876	ensembl_havana	protein_coding
ART4	-0.032705876	ensembl_havana	protein_coding
RSPH4A	-0.032705876	ensembl_havana	protein_coding
SLC26A8	-0.032705876	ensembl_havana	protein_coding
MDGA1	-0.032705876	ensembl_havana	protein_coding
WISP3	-0.032705876	ensembl_havana	protein_coding
HAVCR1	-0.032705876	ensembl_havana	protein_coding
SERPINC1	-0.032705876	ensembl_havana	protein_coding
PROX1	-0.032705876	ensembl_havana	protein_coding
ATP10B	-0.032705876	ensembl_havana	protein_coding
PMFBP1	-0.032705876	ensembl_havana	protein_coding
TEX11	-0.032705876	ensembl_havana	protein_coding
CSMD2	-0.032705876	ensembl_havana	protein_coding
HPCA	-0.032705876	ensembl_havana	protein_coding
ZNF205	-0.032705876	ensembl_havana	protein_coding
PRICKLE4	-0.032705876	ensembl_havana	protein_coding
CD70	-0.032705876	ensembl_havana	protein_coding
CST8	-0.032705876	ensembl_havana	protein_coding
WNK4	-0.032705876	ensembl_havana	protein_coding
F2RL3	-0.032705876	ensembl_havana	protein_coding
MGAT3	-0.032705876	ensembl_havana	protein_coding
KLK10	-0.032705876	ensembl_havana	protein_coding
APOE	-0.032705876	ensembl_havana	protein_coding
KIF1A	-0.032705876	ensembl_havana	protein_coding
TNNI2	-0.032705876	ensembl_havana	protein_coding
DLG4	-0.032705876	ensembl_havana	protein_coding
PEBP4	-0.032705876	ensembl_havana	protein_coding
ADAMDEC1	-0.032705876	ensembl_havana	protein_coding
IGF2BP3	-0.032705876	ensembl_havana	protein_coding
GAD2	-0.032705876	ensembl_havana	protein_coding
ENPP2	-0.032705876	ensembl_havana	protein_coding
CLPS	-0.032705876	ensembl_havana	protein_coding
FXYD2	-0.032705876	ensembl_havana	protein_coding
GIPC2	-0.032705876	ensembl_havana	protein_coding
KLRG1	-0.032705876	ensembl_havana	protein_coding
TPH2	-0.032705876	ensembl_havana	protein_coding
SLC39A5	-0.032705876	ensembl_havana	protein_coding
KCNH5	-0.032705876	ensembl_havana	protein_coding
CACNA1A	-0.032705876	ensembl_havana	protein_coding
ILDR2	-0.032705876	ensembl_havana	protein_coding
FBLN7	-0.032705876	ensembl_havana	protein_coding
PLA1A	-0.032705876	ensembl_havana	protein_coding
ALDH1L1	-0.032705876	ensembl_havana	protein_coding
FAM86B2	-0.032705876	ensembl_havana	protein_coding
MUC4	-0.032705876	ensembl_havana	protein_coding
CORIN	-0.032705876	ensembl_havana	protein_coding
TIMD4	-0.032705876	ensembl_havana	protein_coding
ITGB1BP2	-0.032705876	ensembl_havana	protein_coding
IFNA5	-0.032705876	ensembl_havana	protein_coding
HMCN2	-0.032705876	ensembl_havana	protein_coding
IDI2	-0.032705876	ensembl_havana	protein_coding
NKX6-2	-0.032705876	ensembl_havana	protein_coding
LRRC4C	-0.032705876	ensembl_havana	protein_coding
SCN2B	-0.032705876	ensembl_havana	protein_coding
SLC35F4	-0.032705876	ensembl_havana	protein_coding
TMEM178A	-0.032705876	ensembl_havana	protein_coding
DSPP	-0.032705876	ensembl_havana	protein_coding
SLC16A12	-0.032705876	ensembl_havana	protein_coding
CPB1	-0.032705876	ensembl_havana	protein_coding
SCN3A	-0.032705876	ensembl_havana	protein_coding
CD96	-0.032705876	ensembl_havana	protein_coding
UBALD1	-0.032705876	ensembl_havana	protein_coding
TEX29	-0.032705876	ensembl_havana	protein_coding
SEMA3D	-0.032705876	ensembl_havana	protein_coding
SLC5A10	-0.032705876	ensembl_havana	protein_coding
MAGED4	-0.032705876	ensembl_havana	protein_coding
RSPH10B	-0.032705876	ensembl_havana	protein_coding
GPR78	-0.032705876	ensembl_havana	protein_coding
SYN2	-0.032705876	ensembl_havana	protein_coding
FTCD	-0.032705876	ensembl_havana	protein_coding
NLRX1	-0.032705876	ensembl_havana	protein_coding
DCD	-0.032705876	ensembl_havana	protein_coding
GRASP	-0.032705876	ensembl_havana	protein_coding
TAL1	-0.032705876	ensembl_havana	protein_coding
ERICH6	-0.032705876	ensembl_havana	protein_coding
TCF23	-0.032705876	ensembl_havana	protein_coding
PRDM9	-0.032705876	ensembl_havana	protein_coding
CDC20B	-0.032705876	ensembl_havana	protein_coding
KLKB1	-0.032705876	ensembl_havana	protein_coding
GRIK2	-0.032705876	ensembl_havana	protein_coding
T	-0.032705876	ensembl_havana	protein_coding
ANKRD55	-0.032705876	ensembl_havana	protein_coding
SLC35G3	-0.032705876	ensembl_havana	protein_coding
SUN3	-0.032705876	ensembl_havana	protein_coding
SLC30A8	-0.032705876	ensembl_havana	protein_coding
PTCHD1	-0.032705876	ensembl_havana	protein_coding
PPP1R14D	-0.032705876	ensembl_havana	protein_coding
GALR1	-0.032705876	ensembl_havana	protein_coding
CHRFAM7A	-0.032705876	ensembl_havana	protein_coding
CACNG2	-0.032705876	ensembl_havana	protein_coding
ENDOG	-0.032705876	ensembl_havana	protein_coding
IGF2	-0.032705876	ensembl_havana	protein_coding
MMP26	-0.032705876	ensembl_havana	protein_coding
KCNV2	-0.032705876	ensembl_havana	protein_coding
FAM107A	-0.032705876	ensembl_havana	protein_coding
SCGB1D1	-0.032705876	ensembl_havana	protein_coding
VWA3B	-0.032705876	ensembl_havana	protein_coding
NTSR2	-0.032705876	ensembl_havana	protein_coding
SH3TC2	-0.032705876	ensembl_havana	protein_coding
PDILT	-0.032705876	ensembl_havana	protein_coding
OTUD7A	-0.032705876	ensembl_havana	protein_coding
FAM153A	-0.032705876	ensembl_havana	protein_coding
EMX2	-0.032705876	ensembl_havana	protein_coding
GRIK1	-0.032705876	ensembl_havana	protein_coding
MAP6	-0.032705876	ensembl_havana	protein_coding
EFCAB3	-0.032705876	ensembl_havana	protein_coding
PARP15	-0.032705876	ensembl_havana	protein_coding
PHOSPHO1	-0.032705876	ensembl_havana	protein_coding
ARL13A	-0.032705876	ensembl_havana	protein_coding
REP15	-0.032705876	ensembl_havana	protein_coding
ZNF80	-0.032705876	ensembl_havana	protein_coding
CNIH2	-0.032705876	ensembl_havana	protein_coding
CADM2	-0.032705876	ensembl_havana	protein_coding
TEX26	-0.032705876	ensembl_havana	protein_coding
EIF4E1B	-0.032705876	ensembl_havana	protein_coding
MAP3K19	-0.032705876	ensembl_havana	protein_coding
EFCAB5	-0.032705876	ensembl_havana	protein_coding
ZDHHC22	-0.032705876	ensembl_havana	protein_coding
ERICH5	-0.032705876	ensembl_havana	protein_coding
ZNF454	-0.032705876	ensembl_havana	protein_coding
AMBN	-0.032705876	ensembl_havana	protein_coding
OR6B3	-0.032705876	ensembl_havana	protein_coding
LMO7DN	-0.032705876	ensembl_havana	protein_coding
RAB39A	-0.032705876	ensembl_havana	protein_coding
ZBTB18	-0.032705876	ensembl_havana	protein_coding
ABCA13	-0.032705876	ensembl_havana	protein_coding
NRXN1	-0.032705876	ensembl_havana	protein_coding
C17orf47	-0.032705876	ensembl_havana	protein_coding
TBPL2	-0.032705876	ensembl_havana	protein_coding
CCBE1	-0.032705876	ensembl_havana	protein_coding
ANKRD45	-0.032705876	ensembl_havana	protein_coding
DNAH2	-0.032705876	ensembl_havana	protein_coding
NUTM1	-0.032705876	ensembl_havana	protein_coding
C6orf58	-0.032705876	ensembl_havana	protein_coding
SV2B	-0.032705876	ensembl_havana	protein_coding
PRAME	-0.032705876	ensembl_havana	protein_coding
C16orf54	-0.032705876	ensembl_havana	protein_coding
CYP4F12	-0.032705876	ensembl_havana	protein_coding
AKAP14	-0.032705876	ensembl_havana	protein_coding
SAMD7	-0.032705876	ensembl_havana	protein_coding
CIDEC	-0.032705876	ensembl_havana	protein_coding
PLEKHG7	-0.032705876	ensembl_havana	protein_coding
C1orf168	-0.032705876	ensembl_havana	protein_coding
INSC	-0.032705876	ensembl_havana	protein_coding
NKAIN2	-0.032705876	ensembl_havana	protein_coding
VWC2	-0.032705876	ensembl_havana	protein_coding
FZD9	-0.032705876	ensembl_havana	protein_coding
OR2C3	-0.032705876	ensembl_havana	protein_coding
ZNF775	-0.032705876	ensembl_havana	protein_coding
ZNF470	-0.032705876	ensembl_havana	protein_coding
ZNF655	-0.032705876	ensembl_havana	protein_coding
C14orf178	-0.032705876	ensembl_havana	protein_coding
ZNF536	-0.032705876	ensembl_havana	protein_coding
HLA-DOA	-0.032705876	ensembl_havana	protein_coding
VWA7	-0.032705876	ensembl_havana	protein_coding
LY6G6F	-0.032705876	ensembl_havana	protein_coding
PCDHA5	-0.032705876	havana	protein_coding
SLCO6A1	-0.032705876	ensembl_havana	protein_coding
TRIM71	-0.032705876	ensembl_havana	protein_coding
KRTAP3-1	-0.032705876	ensembl_havana	protein_coding
GTF2H4	-0.032705876	ensembl_havana	protein_coding
HIGD1C	-0.032705876	ensembl_havana	protein_coding
NPIPA8	-0.032705876	ensembl_havana	protein_coding
KCNU1	-0.032705876	ensembl_havana	protein_coding
KRTAP10-10	-0.032705876	havana	protein_coding
LTA	-0.032705876	ensembl_havana	protein_coding
SAPCD1	-0.032705876	ensembl_havana	protein_coding
HLA-DQB2	-0.032705876	ensembl_havana	protein_coding
MCIDAS	-0.032705876	ensembl_havana	protein_coding
PATE4	-0.032705876	ensembl_havana	protein_coding
PSG2	-0.032705876	havana	protein_coding
UGT1A8	-0.032705876	ensembl_havana	protein_coding
OR2A7	-0.032705876	ensembl_havana	protein_coding
SEPP1	-0.032705876	havana	protein_coding
APITD1-CORT	-0.032705876	ensembl_havana	protein_coding
RP1-27O5.3	-0.032705876	havana	protein_coding
TRIM34	-0.032705876	ensembl_havana	protein_coding
UBE2F-SCLY	-0.032705876	havana	protein_coding
CTD-2192J16.22	-0.032705876	havana	protein_coding
AC004754.3	-0.032705876	havana	protein_coding
DOC2B	-0.032705876	ensembl_havana	protein_coding
RP11-38C17.1	-0.032705876	havana	protein_coding
HIST1H4F	-0.032705876	ensembl_havana	protein_coding
HIST1H2BO	-0.032705876	ensembl_havana	protein_coding
CH507-9B2.1	-0.032705876	ensembl_havana	protein_coding
AC105052.2	-0.032705876	ensembl	protein_coding
AC009022.1	-0.032705876	ensembl	protein_coding
AC004953.1	-0.032705876	ensembl	protein_coding
AC010287.1	-0.032705876	ensembl	protein_coding
AC110615.1	-0.032705876	ensembl	protein_coding
AC104581.1	-0.032705876	ensembl	protein_coding
WNT3	-0.032893925	ensembl_havana	protein_coding
TRMO	-0.032896016	ensembl_havana	protein_coding
KHDRBS3	-0.032916638	ensembl_havana	protein_coding
ATP5G2	-0.032934049	ensembl_havana	protein_coding
ZC3H4	-0.033078896	ensembl_havana	protein_coding
TBC1D10A	-0.033095266	ensembl_havana	protein_coding
ASCL2	-0.033095266	ensembl_havana	protein_coding
SFT2D1	-0.033104409	ensembl_havana	protein_coding
IFT57	-0.033312483	ensembl_havana	protein_coding
C9orf9	-0.033313334	ensembl_havana	protein_coding
ZNF30	-0.033522674	ensembl_havana	protein_coding
CPSF3L	-0.034025706	ensembl_havana	protein_coding
DNAJC24	-0.034037814	ensembl_havana	protein_coding
MTFP1	-0.034049528	ensembl_havana	protein_coding
RDH5	-0.03410134	ensembl_havana	protein_coding
SLC15A4	-0.034154201	ensembl_havana	protein_coding
ASB8	-0.034157528	ensembl_havana	protein_coding
MYL6	-0.034193204	ensembl_havana	protein_coding
PALLD	-0.034291346	ensembl_havana	protein_coding
SLC2A4RG	-0.034333646	ensembl_havana	protein_coding
FRRS1	-0.034352028	ensembl_havana	protein_coding
FOXP4	-0.034353918	ensembl_havana	protein_coding
LRRC75B	-0.034392411	ensembl_havana	protein_coding
ATP5H	-0.034392747	ensembl_havana	protein_coding
C6orf132	-0.034428102	ensembl_havana	protein_coding
HABP4	-0.034494367	ensembl_havana	protein_coding
YLPM1	-0.034712039	ensembl_havana	protein_coding
NXNL2	-0.034718838	ensembl_havana	protein_coding
POLR2J2	-0.034744717	ensembl_havana	protein_coding
TAPBPL	-0.034855776	ensembl_havana	protein_coding
SLC5A3	-0.034978703	ensembl_havana	protein_coding
SF3B6	-0.034998498	ensembl_havana	protein_coding
UAP1L1	-0.035005401	ensembl_havana	protein_coding
ANG	-0.035038845	ensembl_havana	protein_coding
NR3C2	-0.035068727	ensembl_havana	protein_coding
KCNJ11	-0.035068727	ensembl_havana	protein_coding
TCF4	-0.035068727	ensembl_havana	protein_coding
HOXC6	-0.035068727	ensembl_havana	protein_coding
HLA-G	-0.035068727	ensembl_havana	protein_coding
RNF11	-0.035143927	ensembl_havana	protein_coding
FAM213A	-0.035291424	ensembl_havana	protein_coding
CDK4	-0.035321615	ensembl_havana	protein_coding
MEAF6	-0.035405581	ensembl_havana	protein_coding
PCBD1	-0.035501309	ensembl_havana	protein_coding
RRNAD1	-0.035556654	ensembl_havana	protein_coding
FAM64A	-0.035632516	ensembl_havana	protein_coding
CREB3	-0.035728878	ensembl_havana	protein_coding
SLC29A1	-0.035740746	ensembl_havana	protein_coding
UNC93B1	-0.035757116	ensembl_havana	protein_coding
ELMO1	-0.035757116	ensembl_havana	protein_coding
LRFN4	-0.035757116	ensembl_havana	protein_coding
KLC2	-0.035757116	ensembl_havana	protein_coding
ALG1L2	-0.035757116	ensembl_havana	protein_coding
ANKRD34A	-0.035757116	ensembl_havana	protein_coding
ITPKC	-0.035777205	ensembl_havana	protein_coding
EIF2S2	-0.035834743	ensembl_havana	protein_coding
FAM110C	-0.035851121	ensembl_havana	protein_coding
RAMP3	-0.035858883	ensembl_havana	protein_coding
INHBA	-0.035875184	ensembl_havana	protein_coding
SLC39A3	-0.035949013	ensembl_havana	protein_coding
TPD52L2	-0.035960176	ensembl_havana	protein_coding
PLEKHG4B	-0.036070292	ensembl_havana	protein_coding
BDP1	-0.036272287	ensembl_havana	protein_coding
SPATA21	-0.036292807	ensembl_havana	protein_coding
FAM49A	-0.036394082	ensembl_havana	protein_coding
RPS23	-0.036416718	ensembl_havana	protein_coding
PURA	-0.036445096	ensembl_havana	protein_coding
ROM1	-0.036486796	ensembl_havana	protein_coding
ZDHHC12	-0.036514084	ensembl_havana	protein_coding
HECTD1	-0.036550673	ensembl_havana	protein_coding
CDKN2A	-0.036645721	ensembl_havana	protein_coding
SVIP	-0.036692357	ensembl_havana	protein_coding
RPS15	-0.036711447	ensembl_havana	protein_coding
SOWAHA	-0.037041089	ensembl_havana	protein_coding
KIAA1211	-0.03705986	ensembl_havana	protein_coding
SARAF	-0.037380963	ensembl_havana	protein_coding
LIG1	-0.037495631	ensembl_havana	protein_coding
PUF60	-0.037519284	ensembl_havana	protein_coding
LAT2	-0.037670338	ensembl_havana	protein_coding
EIF1AX	-0.0377018	ensembl_havana	protein_coding
MIIP	-0.037747927	ensembl_havana	protein_coding
GPR87	-0.037751956	ensembl_havana	protein_coding
IGDCC3	-0.037761288	ensembl_havana	protein_coding
SPG21	-0.037979986	ensembl_havana	protein_coding
METTL23	-0.037994284	ensembl_havana	protein_coding
C19orf24	-0.038024935	ensembl_havana	protein_coding
ADAMTSL3	-0.038155904	ensembl_havana	protein_coding
GNB4	-0.038311182	ensembl_havana	protein_coding
RFX7	-0.038521056	ensembl_havana	protein_coding
TMEM169	-0.038526839	ensembl_havana	protein_coding
EPS15L1	-0.038594567	ensembl_havana	protein_coding
INHBE	-0.038595452	ensembl_havana	protein_coding
TSEN2	-0.038617294	ensembl_havana	protein_coding
AIFM2	-0.038659466	ensembl_havana	protein_coding
AMOTL1	-0.038672412	ensembl_havana	protein_coding
ZP3	-0.038799281	ensembl_havana	protein_coding
RRM2	-0.038823216	ensembl_havana	protein_coding
RNF183	-0.038851911	ensembl_havana	protein_coding
MMP17	-0.038851911	ensembl_havana	protein_coding
RECQL5	-0.038887167	ensembl_havana	protein_coding
RASAL1	-0.038894087	ensembl_havana	protein_coding
EEF2K	-0.038966879	ensembl_havana	protein_coding
ABCA10	-0.039070208	ensembl_havana	protein_coding
PNPLA2	-0.039070208	ensembl_havana	protein_coding
PRR5-ARHGAP8	-0.039070208	ensembl_havana	protein_coding
SPHK2	-0.039100219	ensembl_havana	protein_coding
KLHL23	-0.039177243	ensembl_havana	protein_coding
RNF167	-0.039231093	ensembl_havana	protein_coding
NUAK2	-0.039256759	ensembl_havana	protein_coding
ITGA10	-0.039354575	ensembl_havana	protein_coding
RELB	-0.039369151	ensembl_havana	protein_coding
SLC8A1	-0.039369151	ensembl_havana	protein_coding
EDRF1	-0.039401257	ensembl_havana	protein_coding
ERO1A	-0.039454412	ensembl_havana	protein_coding
MYO7A	-0.039528251	ensembl_havana	protein_coding
DEGS2	-0.039612131	ensembl_havana	protein_coding
RILPL1	-0.039614444	ensembl_havana	protein_coding
ENTHD2	-0.039669783	ensembl_havana	protein_coding
GNB2L1	-0.039972728	ensembl_havana	protein_coding
ZNF599	-0.040006155	ensembl_havana	protein_coding
ODAM	-0.040032526	ensembl_havana	protein_coding
RAMP1	-0.040032526	ensembl_havana	protein_coding
NTHL1	-0.040046129	ensembl_havana	protein_coding
PRPF40B	-0.040139025	ensembl_havana	protein_coding
SYTL3	-0.040149913	ensembl_havana	protein_coding
AMPD1	-0.040294391	ensembl_havana	protein_coding
ZNF564	-0.040364575	ensembl_havana	protein_coding
ZNF646	-0.040375306	ensembl_havana	protein_coding
ISYNA1	-0.040429652	ensembl_havana	protein_coding
FATE1	-0.040554436	ensembl_havana	protein_coding
GPR158	-0.040554436	ensembl_havana	protein_coding
IZUMO1	-0.040554436	ensembl_havana	protein_coding
KRTDAP	-0.040554436	ensembl_havana	protein_coding
FCHSD2	-0.040558334	ensembl_havana	protein_coding
MFN2	-0.040619063	ensembl_havana	protein_coding
CCDC125	-0.040770993	ensembl_havana	protein_coding
NUP62CL	-0.040780189	ensembl_havana	protein_coding
JAGN1	-0.040837906	ensembl_havana	protein_coding
STARD3	-0.040866517	ensembl_havana	protein_coding
LRSAM1	-0.040901715	ensembl_havana	protein_coding
RPS6KA4	-0.040934822	ensembl_havana	protein_coding
ZNF182	-0.041038858	ensembl_havana	protein_coding
ZBED8	-0.041101848	ensembl_havana	protein_coding
PRCP	-0.041150031	ensembl_havana	protein_coding
ZNF730	-0.041275428	ensembl_havana	protein_coding
NSDHL	-0.041317768	ensembl_havana	protein_coding
RNF6	-0.041410317	ensembl_havana	protein_coding
COL5A3	-0.041413192	ensembl_havana	protein_coding
SLC16A5	-0.041413192	ensembl_havana	protein_coding
KCNMB2	-0.041413192	ensembl_havana	protein_coding
BEX1	-0.041441229	ensembl_havana	protein_coding
CDA	-0.041441229	ensembl_havana	protein_coding
ZNF836	-0.041441229	ensembl_havana	protein_coding
ABCG1	-0.041658899	ensembl_havana	protein_coding
ARL5A	-0.041769291	ensembl_havana	protein_coding
CARD14	-0.041958136	ensembl_havana	protein_coding
FKBP1B	-0.041958412	ensembl_havana	protein_coding
TUBA3E	-0.041958412	ensembl_havana	protein_coding
C1orf228	-0.041958412	ensembl_havana	protein_coding
CA4	-0.041987658	ensembl_havana	protein_coding
BLOC1S2	-0.042175928	ensembl_havana	protein_coding
FGFR2	-0.042199022	ensembl_havana	protein_coding
TMEM107	-0.042221611	ensembl_havana	protein_coding
LGALS1	-0.042232635	ensembl_havana	protein_coding
ZNF138	-0.042275959	ensembl_havana	protein_coding
ZNF285	-0.04233753	ensembl_havana	protein_coding
PPP1R12C	-0.042341871	ensembl_havana	protein_coding
ADSS	-0.042461977	ensembl_havana	protein_coding
SNED1	-0.042508205	ensembl_havana	protein_coding
RPAIN	-0.042521583	ensembl_havana	protein_coding
SERPINE2	-0.042530529	ensembl_havana	protein_coding
KANSL2	-0.042620098	ensembl_havana	protein_coding
FUZ	-0.042641008	ensembl_havana	protein_coding
ABCA8	-0.042641008	ensembl_havana	protein_coding
SNX31	-0.042641008	ensembl_havana	protein_coding
GPX1	-0.042641008	ensembl_havana	protein_coding
RP11-505K9.4	-0.042641008	havana	protein_coding
NMU	-0.042690401	ensembl_havana	protein_coding
GFRA3	-0.042690401	ensembl_havana	protein_coding
ROBO3	-0.042690401	ensembl_havana	protein_coding
PRKAA2	-0.042690401	ensembl_havana	protein_coding
MMP28	-0.042690401	ensembl_havana	protein_coding
HIST1H2AB	-0.042690401	ensembl_havana	protein_coding
ARHGEF35	-0.042813054	ensembl_havana	protein_coding
RAB24	-0.042818773	ensembl_havana	protein_coding
STK11	-0.042927787	ensembl_havana	protein_coding
TMEM31	-0.042948945	ensembl_havana	protein_coding
PARN	-0.043059312	ensembl_havana	protein_coding
FAM83B	-0.043391668	ensembl_havana	protein_coding
TFPT	-0.043400247	ensembl_havana	protein_coding
NME9	-0.043478109	ensembl_havana	protein_coding
SAP18	-0.043480056	ensembl_havana	protein_coding
ARG2	-0.043507793	ensembl_havana	protein_coding
SRRM3	-0.043514029	ensembl_havana	protein_coding
TMCC3	-0.04352548	ensembl_havana	protein_coding
PCDHB10	-0.04352548	ensembl_havana	protein_coding
ATP8A1	-0.04352548	ensembl_havana	protein_coding
COL2A1	-0.04352548	ensembl_havana	protein_coding
JPH2	-0.04352548	ensembl_havana	protein_coding
VWCE	-0.04352548	ensembl_havana	protein_coding
C4orf26	-0.04352548	ensembl_havana	protein_coding
SAMD9	-0.04352548	ensembl_havana	protein_coding
SLC20A2	-0.043590558	ensembl_havana	protein_coding
TBRG1	-0.04368401	ensembl_havana	protein_coding
GDF9	-0.043780627	ensembl_havana	protein_coding
SMYD3	-0.04381782	ensembl_havana	protein_coding
ZNF714	-0.04385751	ensembl_havana	protein_coding
GMFB	-0.043876204	ensembl_havana	protein_coding
JADE1	-0.043889769	ensembl_havana	protein_coding
SPATA2	-0.043926739	ensembl_havana	protein_coding
LIF	-0.043960101	ensembl_havana	protein_coding
PMEPA1	-0.044199726	ensembl_havana	protein_coding
MPHOSPH9	-0.044269955	ensembl_havana	protein_coding
ZNF566	-0.044432774	ensembl_havana	protein_coding
CORO1A	-0.044466299	ensembl_havana	protein_coding
ALKBH7	-0.044604414	ensembl_havana	protein_coding
SLC35B1	-0.044610304	ensembl_havana	protein_coding
PRKAG2	-0.04465728	ensembl_havana	protein_coding
RPL23A	-0.044705715	ensembl_havana	protein_coding
CDK11A	-0.044905434	ensembl_havana	protein_coding
RRS1	-0.044915052	ensembl_havana	protein_coding
KCNK5	-0.044952681	ensembl_havana	protein_coding
F8A1	-0.045038914	ensembl_havana	protein_coding
PAGR1	-0.045209571	ensembl_havana	protein_coding
ATP6V1H	-0.045232273	ensembl_havana	protein_coding
RP3-468K18.5	-0.045240339	havana	protein_coding
NBPF26	-0.045331664	ensembl_havana	protein_coding
PPP1CA	-0.045370503	ensembl_havana	protein_coding
OGFR	-0.04538907	ensembl_havana	protein_coding
DMAP1	-0.045391436	ensembl_havana	protein_coding
STIM2	-0.045393161	ensembl_havana	protein_coding
SLC35D2	-0.045446783	ensembl_havana	protein_coding
ARHGEF1	-0.045595611	ensembl_havana	protein_coding
ST3GAL3	-0.045603693	ensembl_havana	protein_coding
SMIM19	-0.045679451	ensembl_havana	protein_coding
SMTNL2	-0.045691632	ensembl_havana	protein_coding
GFPT1	-0.045752815	ensembl_havana	protein_coding
ZMAT5	-0.045821069	ensembl_havana	protein_coding
DTX2	-0.045916541	ensembl_havana	protein_coding
AGAP4	-0.046116503	ensembl_havana	protein_coding
FTH1	-0.046259907	ensembl_havana	protein_coding
WAPL	-0.046285069	ensembl_havana	protein_coding
NDUFV2	-0.046285916	ensembl_havana	protein_coding
OBSCN	-0.046355768	ensembl_havana	protein_coding
PRKD1	-0.046389487	ensembl_havana	protein_coding
NCOR1	-0.046444945	ensembl_havana	protein_coding
FOXF1	-0.046456584	ensembl_havana	protein_coding
NT5M	-0.046456584	ensembl_havana	protein_coding
STRA6	-0.046498913	ensembl_havana	protein_coding
TXNIP	-0.046533686	ensembl_havana	protein_coding
AKNA	-0.046571619	ensembl_havana	protein_coding
BMP2K	-0.04657381	ensembl_havana	protein_coding
CLCN5	-0.046631643	ensembl_havana	protein_coding
HSPA9	-0.046739329	ensembl_havana	protein_coding
MT-CO2	-0.046876674	insdc	protein_coding
MOCS3	-0.047115609	ensembl_havana	protein_coding
ZFYVE9	-0.047195239	ensembl_havana	protein_coding
PRR11	-0.047289517	ensembl_havana	protein_coding
WHAMM	-0.047419699	ensembl_havana	protein_coding
RNF133	-0.047449565	havana	protein_coding
DGKQ	-0.047477837	ensembl_havana	protein_coding
CLIC1	-0.047501155	ensembl_havana	protein_coding
MYZAP	-0.047563817	ensembl_havana	protein_coding
SLC9A6	-0.047569077	ensembl_havana	protein_coding
CLN5	-0.047802969	ensembl_havana	protein_coding
CLIP1	-0.047803036	ensembl_havana	protein_coding
NDUFA7	-0.047832021	ensembl_havana	protein_coding
NFRKB	-0.048059605	ensembl_havana	protein_coding
ZNF512B	-0.04808457	ensembl_havana	protein_coding
NPHP1	-0.048170744	ensembl_havana	protein_coding
SLC26A11	-0.048178544	ensembl_havana	protein_coding
CKLF	-0.048214277	ensembl_havana	protein_coding
TNFSF13	-0.048436711	ensembl_havana	protein_coding
OPTN	-0.048471926	ensembl_havana	protein_coding
PSMD8	-0.048574864	ensembl_havana	protein_coding
HSPB11	-0.048692168	ensembl_havana	protein_coding
