	1.lane.clean.uniq.gz	2.lane.clean.uniq.gz	3.lane.clean.uniq.gz	4.lane.clean.uniq.gz	5.lane.clean.uniq.gz	6.lane.clean.uniq.gz	7.lane.clean.uniq.gz	8.lane.clean.uniq.gz	9.lane.clean.uniq.gz	10.lane.clean.uniq.gz	11.lane.clean.uniq.gz	12.lane.clean.uniq.gz
hsa-miR-616-5p	1	1	1	0	0	1	1	0	2	1	1	0
hsa-miR-1237	0	0	2	0	0	1	0	2	0	0	0	0
hsa-miR-548n	1	0	0	0	0	2	1	1	0	1	0	0
hsa-miR-5588-5p	1	0	0	0	0	0	0	0	1	1	2	1
hsa-miR-3143	0	0	2	0	1	0	0	0	0	0	0	0
hsa-miR-4697-3p	1	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-4699-5p	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-1304-5p	1	0	0	0	0	0	1	0	2	0	0	0
hsa-miR-1268b	1	2	0	0	0	0	0	0	2	1	0	0
hsa-miR-1185-2-3p	1	1	1	1	0	0	1	2	0	0	1	2
hsa-miR-524-5p	0	0	0	0	2	0	0	0	0	0	0	0
hsa-miR-4787-5p	0	0	0	0	0	1	2	0	1	0	0	0
hsa-miR-5581-3p	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-29a-5p	1	2	1	2	0	0	1	0	1	1	1	2
hsa-miR-590-5p	0	2	0	0	0	0	1	1	0	0	1	0
hsa-miR-570-3p	0	0	0	1	0	0	0	1	0	0	0	2
hsa-miR-5001-3p	2	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-31-3p	1	2	1	0	0	0	0	0	0	0	0	0
hsa-miR-676-5p	0	0	0	2	0	0	0	0	0	0	0	0
hsa-miR-1286	2	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-550a-3-5p	0	2	1	0	0	1	0	0	0	0	0	0
hsa-miR-4796-5p	0	0	1	0	0	2	0	1	0	0	0	1
hsa-miR-1243	0	1	0	2	0	1	0	1	0	0	0	0
hsa-miR-4646-5p	2	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3139	0	2	1	0	0	0	0	0	0	0	0	0
hsa-miR-20b-3p	1	1	0	0	0	0	0	2	0	0	0	0
hsa-miR-4636	0	1	2	0	0	2	2	1	0	0	0	0
hsa-miR-548w	0	0	0	0	0	0	0	0	1	0	0	2
hsa-miR-146a-3p	1	0	0	1	0	0	0	0	2	0	1	0
hsa-miR-449c-5p	2	2	1	0	0	0	0	0	0	0	1	0
hsa-miR-4683	0	0	0	2	0	0	1	0	0	1	0	0
hsa-miR-548j	0	0	0	0	0	0	2	0	2	1	1	1
hsa-miR-607	1	0	0	0	0	0	1	2	0	0	0	0
hsa-miR-1292	1	0	1	0	0	2	0	2	0	0	0	1
hsa-miR-4781-3p	0	2	1	0	0	0	0	2	1	0	0	0
hsa-miR-1255a	0	0	1	1	1	1	1	2	0	1	1	0
hsa-miR-3127-3p	1	0	0	2	2	1	1	0	0	0	0	0
hsa-miR-4281	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-4510	0	2	1	0	0	1	1	2	0	0	1	1
hsa-miR-4301	2	0	1	0	2	0	0	0	1	0	0	0
hsa-miR-100-3p	2	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3133	2	1	2	0	0	0	0	2	2	2	1	0
hsa-miR-4500	1	0	2	0	0	0	1	0	0	0	0	1
hsa-miR-3914	0	0	0	1	0	2	1	0	0	0	0	0
hsa-miR-3674	0	2	0	0	0	0	0	0	0	1	0	0
hsa-miR-4639-5p	2	1	0	0	1	0	2	1	0	1	0	0
hsa-miR-1283	1	1	2	0	0	0	0	0	0	0	1	0
hsa-miR-548z	0	0	1	0	0	2	0	0	0	1	0	0
hsa-miR-218-1-3p	0	1	2	1	0	0	0	2	0	0	0	0
hsa-miR-188-5p	2	1	0	0	1	2	0	2	0	1	0	1
hsa-miR-4775	0	0	1	2	2	2	0	1	1	1	0	0
hsa-miR-627	1	2	1	1	0	0	0	0	0	0	0	0
hsa-miR-3614-3p	0	0	0	0	0	0	0	0	2	1	0	0
hsa-miR-548g-3p	0	1	1	0	2	1	2	0	0	1	0	1
hsa-miR-1302	1	0	2	0	0	1	0	0	0	0	0	1
hsa-miR-548ao-3p	0	0	0	1	1	0	1	0	0	0	0	0
hsa-miR-3690	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3927	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3200-5p	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-2909	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3681-5p	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-548s	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3187-3p	0	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-3155a	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-562	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-1276	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-520g	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4520b-3p	0	1	1	0	0	0	0	0	0	0	1	0
hsa-miR-4732-5p	0	1	0	0	0	0	0	0	0	0	0	1
hsa-miR-1269a	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1289	1	0	1	0	0	0	1	1	0	0	0	0
hsa-miR-2278	0	1	0	0	0	0	1	0	0	0	1	0
hsa-miR-4474-3p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-5002-5p	1	1	1	1	0	1	0	0	0	0	1	0
hsa-miR-3691-5p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4747-5p	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-34a-3p	0	1	0	0	0	0	0	1	0	0	1	0
hsa-miR-4638-5p	1	1	0	0	0	0	0	0	0	0	1	0
hsa-miR-1267	0	1	1	0	0	0	0	1	0	0	0	0
hsa-miR-4463	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-135a-3p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-548b-5p	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-205-5p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3162-3p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-499b-3p	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-513a-3p	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4748	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4634	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4525	0	1	1	0	0	0	0	1	0	0	0	0
hsa-miR-3908	0	0	0	0	0	0	1	1	1	0	0	0
hsa-miR-186-3p	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-943	1	1	1	0	0	0	0	1	0	0	0	0
hsa-miR-1282	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4731-5p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5590-5p	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-551b-5p	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1915-3p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-544b	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-603	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4777-5p	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4491	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-298	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-542-5p	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1231	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-937	1	0	1	1	0	0	0	1	0	0	0	0
hsa-miR-4438	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-623	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-519a-3p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-580	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-600	0	0	0	0	0	0	0	0	1	0	1	0
hsa-miR-586	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3145-5p	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4693-3p	0	0	0	0	0	0	0	1	0	0	1	0
hsa-miR-1271-3p	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4445-3p	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-593-5p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1236	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4721	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3670	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4652-3p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4449	1	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-320e	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-525-5p	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4690-5p	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4706	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-1260a	1	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-5692c	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-5000-5p	0	0	0	1	0	0	0	0	1	0	0	0
hsa-miR-2392	0	1	0	0	0	1	1	1	0	0	0	0
hsa-miR-5690	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-183-3p	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3119	0	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-4680-5p	0	1	0	0	1	0	1	1	0	0	0	1
hsa-miR-4740-3p	1	1	1	0	0	0	0	0	0	0	0	1
hsa-miR-518b	0	0	0	0	0	0	0	1	1	0	1	0
hsa-miR-3126-5p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4758-5p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1255b-5p	1	0	0	0	1	0	1	0	0	0	1	0
hsa-miR-5708	0	0	0	1	0	0	0	0	0	1	0	0
hsa-miR-573	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-4783-5p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3686	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-660-3p	0	1	1	0	1	0	1	1	1	0	0	0
hsa-miR-3160-5p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-765	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-296-5p	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-197-5p	0	0	0	0	1	0	0	1	1	0	0	0
hsa-miR-1911-5p	1	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-4654	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-188-3p	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-550b-2-5p	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4527	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5697	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-4519	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3661	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4638-3p	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-939	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-635	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4673	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-1200	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4759	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-643	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3169	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-579	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-520f	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-605	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-23c	0	0	0	1	0	0	1	1	1	0	0	0
hsa-miR-4717-3p	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-1233	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-517c-3p	0	0	0	1	0	0	0	1	0	0	0	0
hsa-miR-520c-3p	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-608	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-509-3p	1	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-4764-3p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4496	0	1	0	0	0	0	1	1	0	0	0	0
hsa-miR-4698	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-548ae	0	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-4743	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-449b-3p	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-5004-3p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4679	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-584-3p	0	0	0	1	0	1	0	0	0	0	1	0
hsa-miR-4655-5p	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-508-3p	1	0	0	1	0	0	0	1	1	0	0	0
hsa-miR-3157-3p	0	0	1	0	0	0	0	1	0	1	0	0
hsa-miR-1294	0	1	1	0	0	1	0	0	0	0	0	0
hsa-miR-3157-5p	0	0	0	0	0	1	0	1	0	1	0	1
hsa-miR-4774-3p	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1270	1	0	0	0	0	0	0	1	1	0	1	0
hsa-miR-4323	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4677-5p	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-3129-5p	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-519d	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-3132	0	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-4760-5p	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4536-5p	0	1	0	1	1	0	0	1	0	0	1	0
hsa-miR-612	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4503	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4999-3p	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3130-5p	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4662b	1	0	1	0	0	0	0	0	1	0	0	0
hsa-miR-5193	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-566	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-371a-5p	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-4659a-5p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-362-3p	0	1	0	1	0	0	1	1	1	0	0	0
hsa-miR-2681-3p	1	1	0	1	0	0	0	1	0	0	0	0
hsa-miR-3911	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1257	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4711-5p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4667-5p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3191-3p	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4664-3p	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4524b-5p	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-4478	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-1914-5p	0	0	0	0	1	1	1	1	0	0	0	0
hsa-miR-5089	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4795-5p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-571	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3175	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-597	1	1	0	1	0	0	0	1	1	0	0	0
hsa-miR-4742-5p	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-3194-3p	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4517	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4709-5p	1	1	0	1	0	0	1	0	0	0	0	0
hsa-miR-4661-3p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3125	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4444	1	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-4696	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-518e-3p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1284	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-4781-5p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1321	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-759	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4741	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-3675-3p	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3616-3p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1255b-2-3p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3915	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3117-5p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4450	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4656	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4321	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3922-5p	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4745-3p	0	1	1	0	0	0	0	1	0	0	0	0
hsa-miR-2053	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-626	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4501	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3064-3p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4803	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548au-3p	0	0	0	1	0	1	0	0	1	0	1	0
hsa-miR-4772-3p	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-614	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-3193	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4783-3p	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-892a	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-5584-3p	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5010-5p	0	1	0	0	0	0	0	1	0	0	1	0
hsa-miR-4424	0	0	0	0	0	0	0	1	1	1	0	1
hsa-miR-3183	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-556-3p	1	0	0	0	0	0	0	1	1	1	1	0
hsa-miR-367-3p	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4289	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4437	1	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-5685	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4434	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3934	1	1	0	1	0	0	1	1	1	0	1	1
hsa-miR-4703-3p	0	0	1	0	0	0	0	0	1	1	0	0
hsa-miR-944	0	0	0	0	0	1	0	0	0	1	1	0
hsa-miR-1265	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4436b-5p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3121-5p	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3679-3p	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-3166	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3164	0	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-548x-3p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4632	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-520d-5p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4428	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4653-3p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3529-5p	1	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-5090	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3179	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-3152-5p	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-3919	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-5707	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3916	0	0	0	0	0	0	0	0	1	0	1	1
hsa-miR-3937	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3170	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-1266	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4755-5p	0	0	1	1	0	0	0	1	0	0	0	0
hsa-miR-3619-3p	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-2114-5p	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-888-5p	1	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-222-5p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4693-5p	0	1	0	0	0	0	0	0	1	0	0	0
hsa-miR-16-1-3p	0	1	1	1	1	1	0	0	1	0	0	0
hsa-miR-624-3p	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-219-1-3p	1	0	0	1	0	0	0	1	0	1	0	0
hsa-miR-5581-5p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1290	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3163	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4797-5p	1	0	1	0	0	0	1	1	0	0	0	0
hsa-miR-18b-5p	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4778-5p	0	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-4800-3p	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-3662	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4524a-5p	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-3611	1	1	0	0	0	0	0	0	1	1	0	1
hsa-miR-3907	1	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4727-3p	1	1	1	0	0	0	1	0	0	0	0	0
hsa-miR-196a-5p	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4707-3p	1	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-4667-3p	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-890	1	1	0	0	0	0	0	1	1	0	0	0
hsa-miR-4325	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4669	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-559	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4426	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-4644	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-520a-3p	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3154	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-1471	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4675	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5590-3p	0	0	0	0	0	0	0	0	1	0	1	1
hsa-miR-4423-5p	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-2116-3p	0	1	1	1	0	0	0	1	0	0	0	0
hsa-miR-548an	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-4430	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4487	0	0	0	1	1	0	1	0	0	0	0	0
hsa-miR-1178	0	0	1	0	0	0	0	0	0	0	1	0
hsa-miR-658	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-548ak	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-3191-5p	0	0	1	0	1	0	1	0	1	0	0	0
hsa-miR-2467-5p	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-5688	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3679-5p	1	0	0	1	0	0	1	0	0	0	0	0
hsa-miR-4714-3p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1825	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-196b-5p	1	0	0	0	0	0	1	0	1	0	0	0
hsa-miR-4504	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-619	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-1911-3p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4417	1	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-4649-3p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4747-3p	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4637	0	0	0	0	0	0	0	1	0	0	1	0
hsa-miR-4470	0	0	0	0	0	0	0	1	1	0	1	0
hsa-miR-4687-3p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1203	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-615-3p	0	0	1	0	0	0	0	0	1	0	1	0
hsa-miR-4713-3p	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-431-5p	1	1	1	1	0	0	0	0	0	0	1	0
hsa-miR-1305	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4763-3p	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-548i	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-606	0	0	0	0	0	0	0	0	1	1	0	0
hsa-miR-520a-5p	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-3180	0	0	0	1	1	0	0	1	0	0	0	0
hsa-miR-3941	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4796-3p	0	1	0	0	0	0	0	1	1	1	1	0
hsa-miR-4482-3p	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-489	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3620	1	0	1	0	0	0	1	0	0	0	0	0
hsa-miR-3148	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3135a	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4757-5p	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-5571-3p	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-3177-5p	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-581	0	0	1	0	1	0	0	0	0	1	0	0
hsa-miR-3126-3p	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-506-3p	1	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3145-3p	1	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-2115-3p	1	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4460	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-3675-5p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4701-5p	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1273a	1	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-3663-3p	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3923	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4441	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-1913	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4666b	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-4529-5p	0	1	1	0	0	0	0	1	0	0	0	0
hsa-miR-4676-5p	0	0	0	0	1	0	0	0	1	0	0	0
hsa-miR-1324	0	1	0	0	0	0	0	0	0	1	0	0
hsa-miR-4290	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-526b-5p	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4688	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-345-3p	0	0	0	0	0	0	0	0	1	0	0	0
